MARKET,TYPE,BRAND,MODEL,Sage Code,DESCRIPTION,SAMSUNG CODE,Color / SIM
ACCESSORY,ACCESSORY,SAM Lat,L705F Watch Ultra,L705-S-WATUL-WT,SM-L705FAW1GTO Galaxy Watch Ultra ABSOLUTE WHITE,SM-L705FAW1GTO,white
WHOLE SALE,TABLET,SAM Lat,TAB X620 (Galaxy Tab S10 FE+) WIFI 8+128GB,X620-SMGR128-WF,SM-X620NZAAL15 (Galaxy Tab S10 FE+) WIFI 8+128GB GRAY LATIN,SM-X620NZAAL15,GRAY
WHOLE SALE,TABLET,SAM Lat,TAB X526 (Galaxy Tab S10 FE) 5G 8+128GB,X526-S-GR128-5G,SM-X526BZADL15 (Galaxy Tab S10 FE) 5G 8+128GB Gray LATIN,SM-X526BZADL15,GRAY
WHOLE SALE,MOBILE,SAM Lat,A276 (Galaxy A27 5G) 6+128GB DS,A276-SM-PK6128G,SM-A276BLIKGTO (Galaxy A27 5G) Pink 6+128GB DS GTO,SM-A276BLIKGTO,Pink
WHOLE SALE,MOBILE,SAM Lat,A276 (Galaxy A27 5G) 8+256GB DS,A276-SM-PK256GT,SM-A276BLIQGTO (Galaxy A27 5G) Pink 8+256GB DS GTO,SM-A276BLIQGTO,Pink
WHOLE SALE,MOBILE,SAM Lat,A276 (Galaxy A27 5G) 6+128GB DS,A276-SM-BL6128G,SM-A276BZBKGTO (Galaxy A27 5G) Blue 6+128GB DS GTO,SM-A276BZBKGTO,Blue
WHOLE SALE,MOBILE,SAM Lat,A276 (Galaxy A27 5G) 8+256GB DS,A276-SM-BL256GT,SM-A276BZBQGTO (Galaxy A27 5G) Blue 8+256GB DS GTO,SM-A276BZBQGTO,Blue
WHOLE SALE,MOBILE,SAM Lat,A276 (Galaxy A27 5G) 6+128GB DS,A276-SM-BK6128G,SM-A276BZKKGTO (Galaxy A27 5G) Black 6+128GB DS GTO,SM-A276BZKKGTO,Black
WHOLE SALE,MOBILE,SAM Lat,A276 (Galaxy A27 5G) 8+256GB DS,A276-SM-BK256GT,SM-A276BZKQGTO (Galaxy A27 5G) Black 8+256GB DS GTO,SM-A276BZKQGTO,Black
WHOLE SALE,MOBILE,SAM Lat,S731 (S25 FE) 8+256GB ,S731-SM-NV256DL,SM-S731BDBKGTO (S25 FE) NAVY 8+256GB DS LATIN,SM-S731BDBKGTO,Navy
WHOLE SALE,TABLET,SAM Lat,TAB X230 (Galaxy Tab A11+) WIFI 8+128GB,X230-SM-GR128WF,SM-X230NZAAL15 (Galaxy Tab A11+) Wi-Fi 8+128GB  GRAY,SM-X230NZAAL15,
